Motion Through Fluids Experiment Wed, Feb 12, 2020 10:54 AM
Time(sec)	Position(mm)
0.053	0.000
0.253	0.000
0.453	0.000
0.654	0.000
0.853	0.000
1.053	0.000
1.253	0.000
1.453	0.000
1.653	0.000
1.853	0.000
2.053	0.000
2.254	0.000
2.453	0.000
2.653	0.000
2.853	0.000
3.053	0.000
3.253	0.000
3.453	0.000
3.653	0.000
3.853	0.000
4.053	0.675
4.253	1.768
4.453	2.315
4.654	2.862
4.853	3.409
5.053	3.955
5.253	4.502
5.453	5.595
5.653	6.142
5.853	6.689
6.053	7.236
6.253	7.782
6.453	8.876
6.653	9.423
6.853	9.969
7.053	10.516
7.253	11.063
7.453	11.610
7.653	12.703
7.853	13.250
8.053	13.797
8.253	14.343
8.453	14.890
8.653	15.437
8.853	16.530
9.053	17.077
9.254	17.624
9.453	18.171
9.653	18.717
9.854	19.811
10.053	20.358
10.253	20.904
10.453	21.451
10.653	21.998
10.853	22.545
11.053	23.091
11.253	24.185
11.454	24.732
11.653	25.278
11.853	25.825
12.053	26.372
12.253	27.465
12.454	28.012
12.653	28.559
12.853	29.105
13.053	29.652
13.253	30.199
13.453	31.292
13.653	31.839
13.853	32.386
14.053	32.933
14.253	33.479
14.453	34.026
14.653	35.120
14.853	35.666
15.053	36.213
15.253	36.760
15.453	37.307
15.653	38.400
15.853	38.947
16.053	39.494
16.253	40.040
16.453	40.587
16.654	41.134
16.853	41.681
17.053	42.774
17.253	43.321
17.453	43.868
17.653	44.414
17.853	44.961
18.053	46.055
18.253	46.601
18.453	47.148
18.653	47.695
18.853	48.241
19.053	48.788
19.253	49.882
19.453	50.428
19.653	50.975
19.853	51.522
20.053	52.069
20.253	52.615
20.453	53.709
20.653	54.256
20.853	54.802
21.053	55.349
21.254	55.896
21.453	56.989
21.653	57.536
21.853	58.083
22.053	58.630
22.254	59.176
22.453	59.723
22.653	60.817
22.853	61.363
23.053	61.910
23.253	62.457
23.453	63.004
23.653	64.097
23.853	64.644
24.053	65.191
24.253	65.737
24.453	66.284
24.653	66.831
24.853	67.924
25.053	68.471
25.253	69.018
25.453	69.564
25.654	70.111
25.853	71.205
26.053	71.751
26.253	72.298
26.453	72.845
26.653	73.392
26.853	73.938
27.053	74.485
27.253	75.579
27.453	76.125
27.653	76.672
27.853	77.219
28.053	77.766
28.254	78.312
28.453	79.406
28.653	79.953
28.853	80.499
29.053	81.046
29.253	81.593
29.453	82.140
29.653	83.233
29.853	83.780
30.053	84.327
30.253	84.873
30.453	85.420
30.653	85.967
30.853	87.060
31.053	87.607
31.253	88.154
31.453	88.701
31.653	89.247
31.853	90.341
32.053	90.887
32.253	91.434
32.453	91.981
32.653	92.528
32.853	93.074
33.053	93.621
33.253	94.715
33.454	95.261
33.653	95.808
33.853	96.355
34.053	96.902
34.253	97.995
34.453	98.542
34.653	99.089
34.853	99.635
35.053	100.182
35.253	101.276
35.453	101.822
35.653	102.369
35.853	102.916
36.053	103.463
36.253	104.009
36.453	105.103
36.653	105.650
36.853	106.196
37.053	106.743
37.253	107.290
37.453	107.837
37.653	108.930
37.853	109.477
38.053	110.024
38.253	110.570
38.453	111.117
38.653	111.664
38.853	112.210
39.053	113.304
39.253	113.851
39.453	114.397
39.653	114.944
39.853	115.491
40.053	116.584
40.253	117.131
40.453	117.678
40.653	118.225
40.853	118.771
41.053	119.318
41.254	120.412
41.453	120.958
41.653	121.505
41.853	122.052
42.053	122.599
42.254	123.145
42.453	123.692
42.653	124.786
42.853	125.332
43.053	125.879
43.253	126.426
43.453	126.973
43.653	127.519
43.853	128.613
44.053	129.160
44.254	129.706
44.453	130.253
44.653	130.800
44.854	131.893
45.053	132.440
45.253	132.987
45.453	133.533
45.653	134.080
45.853	134.627
46.053	135.720
46.253	136.267
46.453	136.814
46.653	137.361
46.853	137.907
47.053	139.001
47.253	139.548
47.453	140.094
47.653	140.641
47.853	141.188
48.053	141.735
48.253	142.281
48.453	143.375
48.653	143.922
48.853	144.468
49.053	145.015
49.253	145.562
