Motion Through Fluids Experiment Wed, Feb 12, 2020 10:18 AM
Time(sec)	Position(mm)
0.047	0.000
0.097	0.000
0.146	0.000
0.196	0.000
0.246	0.675
0.296	5.049
0.346	9.423
0.396	13.797
0.446	18.171
0.496	22.545
0.546	27.465
0.596	31.839
0.646	36.760
0.696	41.134
0.746	46.055
0.796	50.428
0.846	55.349
0.896	60.270
0.946	64.644
0.996	69.564
1.046	74.485
1.096	78.859
1.146	83.780
1.196	88.701
1.246	93.074
1.296	97.995
1.346	101.822
1.396	106.743
1.446	111.664
1.496	116.038
1.546	120.958
1.596	125.879
1.646	130.800
1.696	135.174
1.747	140.094
1.796	144.468
1.846	149.389
1.896	154.310
1.946	159.230
1.996	163.604
2.046	168.525
2.096	173.446
2.146	178.366
2.196	182.740
2.246	187.661
2.296	192.582
2.346	197.502
2.396	202.423
2.446	206.797
2.496	211.718
2.546	216.638
2.596	221.559
2.646	226.480
2.696	230.854
2.746	235.775
2.796	240.695
2.847	245.069
2.896	249.990
2.946	254.911
2.996	0.000
3.046	0.000
3.096	0.000
3.146	0.000
3.196	0.000
3.246	0.000
3.296	0.000
3.346	0.000
3.396	0.000
